p,rep,level,eig_idx,method,pop_eig,sample_eig
10,10,E,1,REML,1,1.113134832
10,10,E,2,REML,1,1.091742473
10,10,E,3,REML,1,1.054558902
10,10,E,4,REML,1,1.039288783
10,10,E,5,REML,1,0.999740658
10,11,A,1,REML,1,2.837223205
10,11,A,2,REML,1,2.104477536
10,11,A,3,REML,1,1.581560778
10,11,A,4,REML,1,1.476912474
10,11,A,5,REML,1,1.081472475
10,11,B,1,REML,4,5.72502455
10,11,B,2,REML,4,5.19471943
10,11,B,3,REML,4,4.980690247
10,11,B,4,REML,4,4.700572279
10,11,B,5,REML,4,4.45612563
10,11,E,1,REML,1,1.176936012
10,11,E,2,REML,1,1.134138787
10,11,E,3,REML,1,1.083546435
10,11,E,4,REML,1,1.068621904
10,11,E,5,REML,1,1.029347128
10,12,A,1,REML,1,2.291517965
10,12,A,2,REML,1,1.936639355
10,12,A,3,REML,1,1.723575601
10,12,A,4,REML,1,1.455952824
10,12,A,5,REML,1,1.284174825
10,12,B,1,REML,4,5.618219863
10,12,B,2,REML,4,5.074112099
10,12,B,3,REML,4,4.411714709
10,12,B,4,REML,4,4.189398939
10,12,B,5,REML,4,4.066436412
10,12,E,1,REML,1,1.208173508
10,12,E,2,REML,1,1.122390146
10,12,E,3,REML,1,1.072134508
10,12,E,4,REML,1,1.045692889
10,12,E,5,REML,1,1.010750492
10,13,A,1,REML,1,2.252509349
10,13,A,2,REML,1,1.731271551
10,13,A,3,REML,1,1.524053218
10,13,A,4,REML,1,1.226923896
10,13,A,5,REML,1,1.135411657
10,13,B,1,REML,4,5.699215539
10,13,B,2,REML,4,4.894736564
10,13,B,3,REML,4,4.662800585
10,13,B,4,REML,4,4.509944286
10,13,B,5,REML,4,3.811560189
10,13,E,1,REML,1,1.140302888
10,13,E,2,REML,1,1.098528863
10,13,E,3,REML,1,1.081086934
10,13,E,4,REML,1,1.060278487
10,13,E,5,REML,1,1.022685812
10,14,A,1,REML,1,2.767339607
10,14,A,2,REML,1,2.35941392
10,14,A,3,REML,1,1.339544716
10,14,A,4,REML,1,1.152818474
10,14,A,5,REML,1,1.104131554
10,14,B,1,REML,4,5.922552152
10,14,B,2,REML,4,5.199072961
10,14,B,3,REML,4,4.536094556
10,14,B,4,REML,4,4.417276347
10,14,B,5,REML,4,4.103896092
10,14,E,1,REML,1,1.15205245
10,14,E,2,REML,1,1.137461009
10,14,E,3,REML,1,1.096750766
10,14,E,4,REML,1,1.064941182
10,14,E,5,REML,1,1.051629726
10,15,A,1,REML,1,2.735370783
10,15,A,2,REML,1,1.828418867
10,15,A,3,REML,1,1.600588057
10,15,A,4,REML,1,1.491792444
10,15,A,5,REML,1,0.852766576
10,15,B,1,REML,4,6.210655801
10,15,B,2,REML,4,5.072074127
10,15,B,3,REML,4,4.841202262
10,15,B,4,REML,4,3.94652129
10,15,B,5,REML,4,3.8567719
