type,iter,group,eig1,eig2,eig3,eig4,eig5,eig6,eig7,eig8,eig9,eig10,eig11,eig12,eig13,eig14,eig15,eig16,eig17,eig18,eig19,eig20,eig21,eig22,eig23,eig24,eig25,eig26,eig27,eig28,eig29,eig30,eig31,eig32,eig33,eig34,eig35,eig36,eig37,eig38,eig39,eig40,eig41,eig42,eig43,eig44,eig45,eig46,eig47,eig48,eig49,eig50,eig51,eig52,eig53,eig54,eig55,eig56,eig57,eig58,eig59,eig60,eig61,eig62,eig63,eig64,eig65,eig66,eig67,eig68,eig69,eig70,eig71,eig72,eig73,eig74,eig75,eig76,eig77,eig78,eig79,eig80,eig81,eig82,eig83,eig84,eig85,eig86,eig87,eig88,eig89,eig90,eig91,eig92,eig93,eig94,eig95,eig96,eig97,eig98,eig99,eig100
reference,0,replicate,1.5464831316027294,1.328150390535917,1.221734216065395,1.1006851420174946,1.0481306216164197,1.0133415852245111,0.973330896563081,0.9445123616518664,0.9236134300767768,0.9096461123188508,0.8973422327688186,0.8874148328072169,0.8649910768777213,0.8519798741006793,0.838824070043692,0.8324172691305447,0.8280507817471949,0.8127019992543014,0.8049287994615419,0.7965858141052788,0.793099914722478,0.7775780087305354,0.7658277875448356,0.7548734611674676,0.7417435681945923,0.7345215364568282,0.72537037612235,0.7153047278576309,0.7044244638780657,0.7007239344492137,0.6948680125875373,0.694057816973558,0.6862005748874543,0.6697741005853854,0.6678085503401991,0.6604222495521144,0.6476530792073133,0.6384117500970212,0.632525346236621,0.627252910921852,0.6176219537700363,0.6100356975060995,0.5974918504963752,0.5920008383942115,0.5788699951664645,0.5758622852712464,0.5659045241722643,0.5589196976404744,0.5562405559197217,0.5442470651762197,0.5429938661901705,0.5329623178001384,0.5301107318126663,0.5159064583192895,0.5119850854160211,0.5066061732108417,0.503161156215322,0.4973433516300541,0.4878253687311683,0.4849975053057219,0.4791601726939356,0.4726916959210866,0.4679244252910531,0.4537506859905532,0.4517459425807461,0.4458111372643821,0.4383555133885445,0.4353381891064263,0.4316294641181706,0.4255112621514832,0.4175111804863116,0.4123835235700292,0.406250319247582,0.4016768753157719,0.3917663606454108,0.38520622119508674,0.37853689805332247,0.3734899283067371,0.3648997506766005,0.36291212314668575,0.3551443384387117,0.3477845108790089,0.3421767442393108,0.33725986055303037,0.3331699542673796,0.32311378406020647,0.3210387603201804,0.31270815456182866,0.3041759581020637,0.2992570232258823,0.29858625780004955,0.28978074435986184,0.28317506270152193,0.2783527019462928,0.2708144268515456,0.258625687333482,0.250162556714096,0.24761401233541164,0.2372720642775412,0.23187232249264905
reference,0,individual,10.320963158466371,3.319068390578276,2.901602553106599,2.4320388440390768,2.184277551046551,1.757477886854394,1.6905724508562394,1.554529429006041,1.434043773508712,1.3402078660140455,1.2828456598600526,1.2087841263967394,1.1633267144276276,1.0921327166793615,0.9744429384211852,0.9647401792469302,0.9349595435421636,0.8804044288550719,0.8295288402623906,0.7978548134958949,0.7470722734579689,0.724262730683511,0.6905491190808056,0.6568903253798543,0.6386612598909969,0.6304271483674472,0.5995295385375854,0.5455030337094279,0.5283133152369475,0.49910312675742313,0.47671746247837504,0.4666120788499416,0.4353118322405205,0.40664099765842526,0.3988431587125863,0.3692272261790047,0.3601881383244683,0.3289904111396478,0.3166729380606418,0.2838783036238018,0.2679228324992529,0.2538665623553644,0.23792822816911768,0.23000520197109148,0.20446920359261217,0.19355413112494152,0.17620195870213298,0.16370159443579274,0.1530109760967374,0.13716849981661933,0.11576958694439106,0.1051186097622046,0.10158673610585038,0.08777469783543629,0.08469534285152472,0.05716838811039936,0.05053852584638599,0.04798596318932637,0.03810588851280273,0.03132055627579393,0.01940055948609544,2.0842542676407217e-15,1.3230220384438354e-15,1.2357324208423548e-15,1.077079083324758e-15,8.382520426784653e-16,8.141028247802932e-16,7.481580935597869e-16,6.767441812435715e-16,5.530256143214249e-16,4.992295365558332e-16,4.2805511309741264e-16,3.951708163441682e-16,3.5169767453489727e-16,3.440684719475637e-16,2.411062779068676e-16,1.411715066126155e-16,9.010245605179371e-17,2.628779657553767e-17,1.354487001898384e-17,-4.4328641330805607e-17,-9.642117960546823e-17,-1.4372122386100444e-16,-1.814012529724671e-16,-2.1562177871076486e-16,-2.4437223696019955e-16,-3.2730793371881053e-16,-3.603870387301948e-16,-3.647793647163612e-16,-3.92544282743679e-16,-4.568340873956491e-16,-4.822828336979407e-16,-5.698056748780002e-16,-6.494915265529649e-16,-6.80508456678766e-16,-7.522523712676745e-16,-8.372290606407367e-16,-1.0425501103996386e-15,-1.301635219581717e-15,-1.787897616499446e-15
parametric_bootstrap,1,replicate,1.2887905534290702,1.2165031849384518,1.1926936138715336,1.1778158376633636,1.126119581823448,1.0891022614243586,1.0603083514152585,1.0429912465917623,1.0214148745149505,1.0163825043616777,0.9971324072279276,0.9827918324129014,0.972222354227114,0.947978136444114,0.93602901241925,0.9326182788937908,0.9176693457325932,0.904846912028559,0.8937557708822785,0.8816279768648307,0.8722084467279774,0.8634190738023048,0.8506288123201632,0.8447735469958774,0.8144765410042589,0.8113540363946093,0.8090750888505923,0.7879076175178816,0.778481327920199,0.7739617644241555,0.7623799104351359,0.7507334692338941,0.7472743837759002,0.7409425413317694,0.7309602127915412,0.7148563827493037,0.709045314267237,0.705316917679181,0.7020669596128416,0.6882143873021473,0.6829123937040029,0.6799751046556101,0.6612245455798497,0.6567575144496958,0.6519443258492679,0.6478421472046793,0.6275211816608942,0.6208941214696894,0.6178483252860094,0.6051367546743114,0.6012453560689532,0.5936491357483356,0.5912114165837025,0.5853883583624399,0.5665174047469391,0.5597023198299225,0.5555250177625659,0.5408557209977475,0.5350610903567764,0.5304696495419009,0.5265155843864521,0.523356447569801,0.5160737866296363,0.5067984434689191,0.499795598437864,0.49379324235798,0.48962669588846874,0.4772847491391616,0.46679072683828027,0.45983105784959954,0.4493991466610279,0.4479073731828301,0.4447360661060887,0.43657532409664407,0.4288737163383533,0.4216440288612832,0.4192767429297357,0.415526073290386,0.4142842596684082,0.40260380372005106,0.3902834933243233,0.386701719675553,0.38202919361642945,0.3659099027980087,0.3608315680917046,0.35273794767679867,0.3490986941523838,0.3434889644370012,0.33717113411149086,0.33171502357123583,0.3248756117914192,0.31586652019362055,0.3072089394145765,0.29857588228768933,0.2943842327606452,0.2870194817887598,0.26846703329739896,0.2677850651873857,0.26060924465429264,0.2387537431216924
parametric_bootstrap,1,individual,11.993447703483035,4.142906070801978,3.3902667144569225,2.9926869117354493,2.59191546554314,2.2519768252354755,2.1532476827823492,1.9976438252854367,1.8396841900646603,1.678469841530965,1.5193762825755313,1.481614111282148,1.4040652939099765,1.338718085549297,1.188668469629908,1.0886342011341923,1.0622047966959345,0.9548249718910758,0.879380797865123,0.8472582786963924,0.7873200273257117,0.7385567620074266,0.7038541927588092,0.6420565516284712,0.6139803214631939,0.563706343059799,0.5219541983156449,0.4909742918761778,0.4764524567513784,0.4430351574777764,0.3804125199238512,0.3755878045561626,0.3631018738048127,0.35095387837764785,0.30302682183881247,0.26760737534653606,0.2454128988122,0.2283498201217645,0.21677854170645147,0.18661716831895003,0.1697262338528604,0.14772428701050916,0.14295681018216086,0.12490059587141827,0.1161271293301516,0.110508298385411,0.08791582476607587,0.06435309138760674,0.05114486962427158,0.04665343420486904,0.04482141678506847,0.01864646958233408,0.0053685032907525,1.3801299205970597e-4,2.9521780738925104e-15,1.7091627518552816e-15,1.6046652182610593e-15,1.5256307164892049e-15,1.4615512987610401e-15,1.1458631379971954e-15,1.038920342373111e-15,9.118365115580197e-16,8.083101928798831e-16,7.79510479202327e-16,7.061814526587996e-16,6.954165262620431e-16,5.883991073911798e-16,5.762414677273519e-16,4.2037983108507174e-16,3.69705935667993e-16,3.3680084598224983e-16,2.6179855818576935e-16,2.328135472204011e-16,2.1165875053511798e-16,1.7392633909623383e-16,8.63877395056804e-17,2.0368347872684935e-17,-1.8343501775618318e-17,-8.044663104852808e-17,-1.1763738368266863e-16,-1.5495709196845415e-16,-1.738938856637148e-16,-2.7559541527755373e-16,-3.2452914999867913e-16,-3.3713081173180515e-16,-4.0188381039632183e-16,-4.62606255491907e-16,-4.729601312258621e-16,-5.0783235050574985e-16,-6.113679159512765e-16,-7.075471725282028e-16,-7.214760819527868e-16,-8.603552286353845e-16,-8.8055815831231245e-16,-1.0139341289681105e-15,-1.1420922071465349e-15,-1.1623587955133613e-15,-1.2791279977078198e-15,-1.811792903490295e-15,-3.214164509955288e-15
parametric_bootstrap,2,replicate,1.2738350260610691,1.2237548337172448,1.1545901594015169,1.1321313154747128,1.1127280987273929,1.1020944826498715,1.0715904973092676,1.0413099232493983,1.0343264197578406,1.0034919209186683,0.9892263636272378,0.9838482433358254,0.9696941606033784,0.9485454925767351,0.9358195479079294,0.921595456677024,0.9076791410029346,0.8933263180195339,0.8839803912853007,0.8807001847427989,0.8712211254144394,0.8498737301743652,0.8265796147934641,0.8153054260242016,0.8071220844163877,0.803243199557537,0.7849166661931701,0.779000670900816,0.7761488094700555,0.762663222486213,0.7572653587631529,0.7455911367514784,0.7319501800640819,0.728444738360119,0.7227066498190126,0.7178102888957567,0.7033011116673933,0.6957376625931682,0.6948044053811769,0.6888781246941496,0.6842534484735531,0.6737725952521414,0.6686048737202291,0.6480754275293896,0.6474077990553235,0.6380234669695061,0.6324448567891756,0.6168945025583826,0.608273689609262,0.6020441073077423,0.599155677030025,0.5867161150292175,0.5812832603232709,0.5784299063509106,0.5707295529822155,0.5638085445158028,0.563110023637242,0.55137184155179,0.5466428407202152,0.5353103959441201,0.5238011687275987,0.5202556409566664,0.5154206353361775,0.5076399197895868,0.49667280005440034,0.48863036716256336,0.4859367470181796,0.4801821994055567,0.4723566435212827,0.46725187616914016,0.4563523570350483,0.4504015223360648,0.4432185865199981,0.4339040750450104,0.4320842035680652,0.4221874164045718,0.41810557807486287,0.4076822575800018,0.4065026516541954,0.3951735431373479,0.3860904260836036,0.383070960889197,0.37706861136796954,0.3696763492673603,0.36069343613551,0.3591491064141972,0.35395945374649457,0.34911599270678695,0.34473894797584437,0.3276337727342294,0.3196521655488366,0.3104961328721788,0.30461977150028224,0.2941005761115687,0.2882249341139546,0.2795908981435411,0.2752295761056236,0.26826490770867095,0.260141581201486,0.24600419967009568
parametric_bootstrap,2,individual,10.229453785204331,4.270597049578002,3.64422461039914,3.180970891569015,3.051433919026801,2.624998118701689,2.24771416983744,2.0643989651828702,2.0178744823580237,1.8329678633038669,1.6444678835539193,1.6058407490791409,1.3850497302320468,1.3640673267979606,1.23548922123169,1.1571946495048435,1.06588354970804,0.9947951494709084,0.969742679956318,0.8973266400922012,0.8656140924458137,0.7321477078295148,0.6956224780576272,0.6660853340130503,0.6621329666233335,0.5860318453813874,0.5291335040872217,0.4876782162679215,0.48507848846050833,0.4075198153879202,0.3877601378112148,0.36337942524240946,0.3462397230533657,0.2993957657615727,0.286409996236532,0.25824411954874615,0.23413493615928052,0.2151360721409339,0.17165280444849598,0.16155267155602954,0.14903585883397388,0.14302093464279056,0.12273517051186215,0.11460823256680472,0.09148359217993204,0.08592630662145972,0.07605462320284294,0.04717235912742519,0.02791775313631767,0.02058930255351179,0.01648833337699774,0.00310620479978345,1.840238006286074e-15,1.6986704777297464e-15,1.327991119643397e-15,1.3044372476876565e-15,1.2232108162970588e-15,1.1567977757178938e-15,1.1037220318334774e-15,1.0038265392618702e-15,9.483628248578756e-16,7.767674995281012e-16,7.317380608359614e-16,6.432755778339147e-16,5.885631492925916e-16,5.786643568233078e-16,4.753682548965875e-16,4.451836556785411e-16,3.635133546416378e-16,3.496066292401051e-16,2.708425662655498e-16,2.437803594150094e-16,2.1460851654003896e-16,2.0355137153556222e-16,1.3727566701395016e-16,1.2340869194823366e-16,2.1645187247182793e-17,1.1077187874414722e-17,-9.387422262122497e-17,-1.0777434951332071e-16,-1.7339981107242182e-16,-2.263966822558562e-16,-2.557769457095926e-16,-3.3093403081964847e-16,-3.867088858475553e-16,-4.1392321971229024e-16,-4.352886545825581e-16,-4.820090278279063e-16,-5.23690898714463e-16,-5.954025486073332e-16,-6.732660506590727e-16,-7.612586667326797e-16,-7.810338944311955e-16,-8.294844885142469e-16,-9.857497170785757e-16,-1.0812663426422665e-15,-1.2656640994318212e-15,-1.4245925802125559e-15,-1.972535003940881e-15,-2.994466699724846e-15
parametric_bootstrap,3,replicate,1.345252388324723,1.1980549564638323,1.1431648232481026,1.1337667524754378,1.11177156114391,1.091891628690228,1.0815879599415357,1.032829888659471,1.0211237911024358,1.012650493025438,0.9891809297005292,0.9836845227024372,0.9773061698475588,0.9683505598661571,0.9602619212737074,0.9301513840729771,0.916533265527618,0.9001538121419578,0.8948497447474394,0.8707515309902755,0.8691427059613716,0.8578384486532837,0.8444990266244549,0.8282620527570471,0.8218836605486963,0.8060599854234977,0.7981402808743352,0.7960882150308252,0.7900151842528064,0.7802237123584054,0.7716074133309153,0.7695728108991133,0.7589486719567193,0.7427171125407889,0.7387578024015055,0.7272560889335872,0.7122012952487874,0.6977793315213864,0.6794782495374062,0.673883645931993,0.6693438871091789,0.6641004595315182,0.6598953813389742,0.6565916307971883,0.6503551036345401,0.6373789152004543,0.6284221892025166,0.6240482652089424,0.6137916279100568,0.6086391337158631,0.6018682178263773,0.5862170158742377,0.5820403504970804,0.5695544223726774,0.5679323439678483,0.556071380709965,0.5513783678603033,0.5489017317699983,0.5333337805155585,0.5271752511516828,0.5208015316545604,0.5164519346264106,0.5116483915243957,0.5054542099221468,0.4949749489404926,0.4872725163386724,0.48118500780723217,0.4732003145941646,0.46981129866517535,0.4598583237194834,0.4535034156949156,0.4500758746165979,0.44095203046520326,0.43341864808148783,0.42076210659417573,0.4191871249324885,0.415663082884874,0.41383987407340506,0.40422826932050465,0.40287363868253045,0.3952046058123164,0.3918729716717044,0.38682428320465995,0.3772203620322777,0.3707767822335745,0.35982355158215124,0.3547464328902525,0.3360312525980961,0.33461307885027153,0.3318213401820334,0.3245380906589093,0.3148734586159067,0.3100363027514469,0.3070339785406231,0.3039509360833172,0.2970062398348185,0.28144768995823755,0.2698073888836027,0.2567682291402279,0.24709758986525837
parametric_bootstrap,3,individual,10.259323939914296,4.126545646803971,3.703716173533563,2.9814818406395487,2.4626386831445135,2.066395719266299,1.898376339305075,1.7685648696537717,1.676767351360425,1.6456749085091211,1.450678637432272,1.365642552156418,1.3261104959022827,1.2493121697711431,1.1696187250957013,1.0993553614361429,1.0425810775702913,0.9790149494100332,0.8343909915575549,0.794630890874988,0.7849423370887229,0.7571142160800216,0.7101538626329198,0.6213444929841514,0.5545618344776507,0.5367451079938851,0.4918699521035564,0.459554418428159,0.4294428151392328,0.3976596469761173,0.3729572294776119,0.3568455299077918,0.33509473234587384,0.2975328618795027,0.25507120519610693,0.24825308498122833,0.21867130603273896,0.20838948442216532,0.20039678622189097,0.1822115539158573,0.1625121902723345,0.16025299374722066,0.14158567896180202,0.12223949327564712,0.11819089703247102,0.10762655110818878,0.092334085769088,0.0862168860706242,0.0776601714621189,0.04587091279202628,0.0297481234768259,0.01764756573168889,0.01079321766759901,1.8478471086091786e-15,1.4373251330467109e-15,1.3043977910225125e-15,1.123068616402072e-15,1.0106817965263117e-15,8.934172961055035e-16,7.587558108097063e-16,7.404512791171354e-16,7.056008208737036e-16,6.414581970462218e-16,5.563021890525185e-16,5.3675829470493425e-16,4.3662430016155013e-16,3.897446278606757e-16,3.817250828121522e-16,2.647537496213111e-16,1.965984126127552e-16,1.9288952761922955e-16,1.1737190259221136e-16,8.766070166202237e-17,3.929471038723427e-17,2.83824131271785e-17,2.2896895387017956e-18,-4.3303328022013686e-17,-6.941998823131642e-17,-1.1581757320881804e-16,-1.7454621607410264e-16,-2.0149905112174995e-16,-2.5915883323676504e-16,-2.853097403734319e-16,-3.2844150971021983e-16,-3.43214639644153e-16,-4.576144283102768e-16,-5.372358449092085e-16,-5.616887709279757e-16,-6.734510291032883e-16,-7.096480704643077e-16,-7.460599569513147e-16,-8.042380607021763e-16,-8.990223475947802e-16,-1.0329151047474274e-15,-1.1210331101041693e-15,-1.183405028591777e-15,-1.2294567197436968e-15,-1.2662418904966032e-15,-1.9142432117007533e-15,-3.318374630497072e-15
parametric_bootstrap,4,replicate,1.2968066481239262,1.1895999296162367,1.155743421996661,1.146089656751773,1.1191061928364825,1.090290485294987,1.0571650549881728,1.050943910332676,1.0431225538151476,1.0270085575380472,1.0028578990101802,0.9983206371474938,0.9665913694758526,0.9591714003912502,0.9479965234089902,0.9333599595736052,0.9158087602229442,0.9043504816603772,0.8958206168830413,0.8883230068907059,0.8700476511749302,0.8607627908725101,0.848839967249379,0.8391565141988169,0.8277724471562764,0.8160940077397697,0.8056584072481373,0.8044655237850946,0.7861102278330948,0.7819923493234882,0.7717483856986873,0.760811342682586,0.7560804963169642,0.7447947984261124,0.7350925543542716,0.7185993440655203,0.7154943092176964,0.7057918851497383,0.693807915264638,0.6850507270401945,0.6715107001728399,0.6636426867649514,0.6600291006615707,0.6553159097160913,0.644125813524733,0.6328262958227129,0.6309837427052698,0.6182907872519448,0.6071552854305112,0.6002028520494629,0.5897855676652178,0.5811491156160558,0.5749507125081765,0.5714898834032505,0.5616656102931493,0.5567532167900555,0.5415945595347419,0.5370005803221825,0.5344440936474432,0.5310301210197556,0.5242234962532512,0.5161455840842367,0.5097440368092112,0.5052321195399527,0.4915442131758771,0.4819492915775592,0.47991276988130943,0.4708958538847272,0.46842044232542135,0.4556234508378687,0.45084230846667417,0.44353645791656826,0.44166947946149415,0.4354284076111245,0.42371105034676543,0.4196696528527524,0.4156114597278617,0.4043818517176628,0.40052447040540406,0.3967721622379617,0.390166452576272,0.38495596573059465,0.3825193251709393,0.370518776933818,0.3618153956746968,0.3579548818154548,0.3449657790297204,0.3417849795300423,0.33853526871026396,0.3276004754280185,0.3224116588038382,0.31540463727284135,0.30255760990945074,0.299980956691133,0.29497999812796927,0.28752093435281667,0.27702470211515173,0.2654173304832722,0.25192546790811576,0.24080356914203055
parametric_bootstrap,4,individual,10.398367747240876,4.221774871453691,3.6375731511415097,3.307055360110516,2.844434500061313,2.371440370408419,2.1918521314873396,1.9776454434096844,1.94533219697757,1.6158201504019587,1.4329664083989562,1.431567875049859,1.3641849348440611,1.327575155040407,1.2144796720666728,1.0698489350952614,0.9540184655698692,0.921940846265598,0.9184499679452676,0.8283645872142552,0.7296215252953815,0.6826071374095529,0.6729570078644995,0.6394531619206487,0.6161071202950902,0.5848862235633882,0.5120478045527995,0.4847186573421348,0.4602815356488593,0.4131503272741235,0.372909430583654,0.35157902647374084,0.32943464459964905,0.32373728309657834,0.29271794572180376,0.2765892256342369,0.2702834783638275,0.2516795866057909,0.2234161096015768,0.1972718155473655,0.18019399235334613,0.15064963092270114,0.14653312347231975,0.12638282468274584,0.10986404906441388,0.09019468116842733,0.07811979444342808,0.0595393117639711,0.05797788103274118,0.04412486373186605,0.02443435294068545,0.01513350922626957,0.00611782508798058,1.4905553477754727e-15,1.4294839094484257e-15,1.278902644800078e-15,1.0730965553782149e-15,1.016062561425513e-15,9.02230152026313e-16,8.863786980488296e-16,7.743479249630476e-16,6.889241794943463e-16,6.719938011700359e-16,6.27550246156847e-16,5.645993233603177e-16,5.585111930597729e-16,4.846814033713585e-16,4.1943812602599334e-16,3.209552795093416e-16,2.2876270139093326e-16,2.2534755084487264e-16,2.0871544900055603e-16,1.5451621417082111e-16,1.3800962838520514e-16,6.181239621511958e-17,4.5768744434311007e-17,-5.293182497147513e-18,-5.606650155640267e-17,-1.0653321033828734e-16,-1.7684574186078794e-16,-2.2387113465785867e-16,-2.891024914751014e-16,-2.958492397881257e-16,-3.498642851917359e-16,-4.135620119599806e-16,-4.643238475937316e-16,-5.009310497895715e-16,-5.449229588157695e-16,-6.057544037847838e-16,-6.107897220538965e-16,-6.659973802435236e-16,-8.094667365788612e-16,-8.731299862349954e-16,-9.86495695147235e-16,-1.1255271829067437e-15,-1.160196232136134e-15,-1.3148245462248905e-15,-1.373918206429629e-15,-1.9213685210269196e-15,-3.6289435631693105e-15
