type,iter,group,eig1,eig2,eig3,eig4,eig5,eig6,eig7,eig8,eig9,eig10,eig11,eig12,eig13,eig14,eig15,eig16,eig17,eig18
reference,0,animal,5.112555867379644,3.0545920712863004,0.9767958814466654,0.6068038804254177,0.3981949859498348,0.3724702686538683,0.2704514716478967,0.23057602533952568,0.19176952278464424,0.14130974227658802,0.11810619394524637,0.1131302730531601,0.08022152107340587,0.06248676597700099,0.04823740505867554,0.03792363683054929,0.0325866012634289,0.03061729832571756
reference,0,dam,1.1598002990696936,0.14797809742696172,0.12042433112567466,0.06085844597952782,0.04895601480070682,0.01989267430873807,0.01264050890240315,0.00884061053916326,0.00591320124555849,0.00394844408561718,0.00219512703509857,0.00103582267254135,1.464237508700399e-11,9.341230333297629e-13,2.4957935500933874e-15,-6.499612885663175e-13,-9.387211149863903e-12,-8.664053404916281e-10
reference,0,sire,1.874972745125836,1.0183250873969631,0.41511146282270583,0.2101469807718668,0.1314905195499184,0.07569091952073657,0.0473278006106807,0.04002507595292978,0.0198424337673794,0.01639781741593538,0.01213874869124858,0.00846909420717266,0.00366411391289307,0.00267243386302944,9.146927753501648e-4,5.705501117822986e-17,7.448551724493635e-18,-1.0250576675066471e-16
parametric_bootstrap,1,animal,5.160091180647608,3.011444304430842,0.971938316010887,0.6432148390242274,0.3802268534436699,0.3590130310899846,0.2758004985725115,0.22867084373753888,0.19782822963409655,0.14377919080246468,0.1140090232050003,0.10913512171475664,0.07937764718127151,0.05989198387613245,0.04859932125703968,0.03872269704638988,0.0315312822195606,0.03019374563044753
parametric_bootstrap,1,dam,1.124071575118642,0.15889342239327134,0.13412540545182428,0.06052289387356625,0.04661572020754476,0.03923887957413358,0.02212445518783139,0.01165363573338221,0.00732526791881203,0.00388630898138639,0.00310884540340222,5.613684335169664e-4,1.7489618142024785e-12,1.1450439341330457e-12,1.6576990974521007e-14,-8.19540790716634e-13,-3.6231384520386223e-11,-2.7791322282291617e-10
parametric_bootstrap,1,sire,1.7074148489079828,0.9453748137267896,0.32826678360320083,0.24015000970757183,0.09868584600684048,0.06664753619527643,0.0444505621191064,0.02814549986751491,0.02251062096731477,0.01490293197094768,0.01165487661147462,0.00807801501985331,0.00233003594192043,0.00116392948155663,8.413803522039743e-4,7.78068764638665e-17,-1.6317088451905244e-18,-5.130697840114045e-17
parametric_bootstrap,2,animal,5.0444051546710655,3.095842245883652,0.9529879721079124,0.5934584158146337,0.38309630578081266,0.35967488543792137,0.2712169288334679,0.23456709624611796,0.19228224514541553,0.13971790676760382,0.12173769983710168,0.11217057191708976,0.07772477297407054,0.06130253532875443,0.04972328398619278,0.0374797793069121,0.03207292835996338,0.03166558842570945
parametric_bootstrap,2,dam,1.050198001370649,0.1798281053346405,0.14664680467309754,0.08949570192746968,0.05978082210864417,0.02625891168043331,0.01314765144141428,0.00731480539962358,0.00612867446106429,0.00494479519951424,0.00346797228122169,0.00183742179898696,2.846227138612597e-12,2.1218283983885993e-13,5.831609889015585e-15,-3.0758573451671002e-12,-1.4451650120261427e-11,-2.8004825120608945e-10
parametric_bootstrap,2,sire,1.819000518182656,1.0638951035669784,0.31783549100878206,0.23410671123486743,0.09049726933620936,0.07273017783881822,0.04848833578582097,0.04033722323617438,0.02206274234108592,0.01360361338776686,0.0063456050782419,0.00465467093816157,0.00321457195416976,0.001199347581225,9.172735697176036e-4,9.634253789113287e-17,1.5060568485916194e-17,-8.177852382346349e-17
parametric_bootstrap,3,animal,4.965239864384423,3.0046258813180606,0.9160804081224688,0.6098350769891853,0.4277888145619944,0.3652428364762752,0.26376334286376246,0.2295936893977792,0.18884510661631015,0.144258377891734,0.1213536333450604,0.11044780506449772,0.07804117928465945,0.06383167802602883,0.04776047664699118,0.03814759471380457,0.03155926534898221,0.02887709330995065
